ASSURED NAME,VESSEL,POLICY NUMBER,INCEPT DATE,EXPIRY DATE,ITEM NUMBER,ITEM TITLE,OCCUPANCY,CLAIM NUMBER,DATE OF LOSS,CURRENCY,POLICY GROSS SUM INSURED,POLICY RETAINED SUM INSURED,POLICY QS SUM INSURED,POLICY SURPLUS SUM INSURED,POLICY PMMSC SUM INSURED,POLICY OTHER TREATY SUM INSURED,POLICY FACUL SUM INSURED,ITEM GROSS SUM INSURED,ITEM RETAINED SUM INSURED,ITEM QS SUM INSURED,ITEM SURPLUS SUM INSURED,ITEM PMMSC SUM INSURED,ITEM OTHER TREATY SUM INSURED,ITEM FACUL SUM INSURED,LOSS RESERVE,LOSS PAID,EXPENSE RESERVE,EXPENSE PAID,RECOVERIES,LOSS DESCRIPTION,LOSS DETAIL,STATUS,FRONTING/REFERRED,INTM NUMBER,INTERMEDIARY NAME,WITH EX-GRATIA,CO INSURANCE,PISC LEAD CO I,ORG TYPE
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,8,CONTENTS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,125000,125000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,10,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,50000,50000,0,0,0,0,0,13233.23,13233.23,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,12,BUILDINGS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,1250000,1250000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,14,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,125000,125000,0,0,0,0,0,11528.15,11528.15,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,17,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,75000,75000,0,0,0,0,0,21910.61,21910.61,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,19,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,75000,75000,0,0,0,0,0,9183.18,9183.18,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,21,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,75000,75000,0,0,0,0,0,16859.32,16859.32,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,23,STOCKS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,7500000,7500000,0,0,0,0,0,480718.23,480718.23,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,24,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,3750000,3750000,0,0,0,0,0,10490.83,10490.83,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,26,STOCKS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,7500000,7500000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,27,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,75000,75000,0,0,0,0,0,22644.87,22644.87,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,30,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,750000,750000,0,0,0,0,0,218978.27,218978.27,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,33,BUILDING,INDUSTRIAL - OTHERS,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,500000,500000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,35,STOCKS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,3750000,3750000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,36,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,6250000,6250000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,37,STOCKS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,6250000,6250000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,38,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,112500,112500,0,0,0,0,0,24280.31,24280.31,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
"CATALINA EMBROIDERIES, INC.",,FI-NIL-GT-21-2100424-00-D,11/06/2021,11/06/2022,39,FFF/APPLIANCE/EQPTS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00013,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,12500,12500,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,Y,N,I
GENARA M. BERMEJO,,FI-NIL-GT-21-2100432-00-D,11/15/2021,11/15/2022,1,BUILDING,RESIDENTIAL,FI-NIL-GT-24-00002,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,1700000,1700000,0,0,0,0,0,200519.36,200519.36,26114,26114,0,DAMAGE TO BUILDING,,CLOSED,,677,MARCIANO O. GO HO,N,N,N,R
GENARA M. BERMEJO,,FI-NIL-GT-21-2100432-00-D,11/15/2021,11/15/2022,2,HSH/FFF,RESIDENTIAL,FI-NIL-GT-24-00002,12/16/2021,PHP,2000000,2000000,0,0,0,0,0,300000,300000,0,0,0,0,0,19276.72,19276.72,0,0,0,DAMAGE TO BUILDING,,CLOSED,,677,MARCIANO O. GO HO,N,N,N,R
LA FORTUNA FOOD CENTER ,,FI-NIL-GT-21-2100435-00-D,11/20/2021,11/20/2022,1,LEASEHOLD IMP,GENERAL - COMMERCIAL,FI-NIL-GT-22-00060,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,30000000,30000000,0,0,0,0,0,1887280.35,1887280.35,114653.4,114653.4,0,PROPERTY DAMAGE DUE TO TYPHOON,,OS-FOR APPROVAL,,677,MARCIANO O. GO HO,N,N,N,I
LA FORTUNA FOOD CENTER ,,FI-NIL-GT-21-2100435-00-D,11/20/2021,11/20/2022,2,BUS FFF,GENERAL - COMMERCIAL,FI-NIL-GT-22-00060,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,18000000,18000000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,OS-FOR APPROVAL,,677,MARCIANO O. GO HO,N,N,N,I
LA FORTUNA FOOD CENTER ,,FI-NIL-GT-21-2100435-00-D,11/20/2021,11/20/2022,3,STOCKS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00060,12/16/2021,PHP,50000000,50000000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,802094.53,802094.53,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,OS-FOR APPROVAL,,677,MARCIANO O. GO HO,N,N,N,I
MICHAEL JOHN D. SY,,FI-NIL-GT-21-2100436-00-D,11/20/2021,11/20/2022,1,BUILDING,WAREHOUSE - OTHERS,FI-NIL-GT-22-00065,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,486165.8,486165.8,30361.11,30361.11,0,PROPERTY DAMAGE DUE TO TYPHOON,,OS-FOR APPROVAL,,677,MARCIANO O. GO HO,N,N,N,I
CHEZ DIVERSIFIED ASSETS CORP.,,FI-NIL-GT-21-2100438-00-D,11/20/2021,11/20/2022,1,BUILDING,WAREHOUSE - OTHERS,FI-NIL-GT-22-00064,12/16/2021,PHP,50000000,45000000,0,0,0,0,5000000,48000000,43200000,0,0,0,0,4800000,1858483.08,1858483.08,83843.51,83843.51,0,damaged property,,OS-FOR APPROVAL,,677,MARCIANO O. GO HO,N,N,N,I
"ROYAL AUTOMOTIVE PARTS CO., INC.",,FI-NIL-GT-21-2100439-00-D,11/20/2021,11/20/2022,2,STOCKS,WAREHOUSE - OTHERS,FI-NIL-GT-25-00001,12/16/2021,PHP,205000000,184500000,0,0,0,0,20500000,200000000,180000000,0,0,0,0,20000000,0,0,7010.97,7010.97,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,677,MARCIANO O. GO HO,N,N,N,I
"PREMIERE FURNITURE, INC.",,FI-NIL-GT-21-2100441-00-D,11/20/2021,11/20/2022,1,STOCKS,WAREHOUSE - OTHERS,FI-NIL-GT-22-00043,12/16/2021,PHP,20000000,20000000,0,0,0,0,0,20000000,20000000,0,0,0,0,0,653833.1,653833.1,44559,44559,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,N,N,I
FLORITA ENTERPRISES,,FI-NIL-GT-21-2100455-00-D,11/30/2021,11/30/2022,1,STOCKS,GENERAL - COMMERCIAL,FI-NIL-GT-22-00081,12/16/2021,PHP,3000000,3000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,damaged property,,CLOSED,,677,MARCIANO O. GO HO,N,N,N,I
THUAN KIAT CORPORATION,,FI-NIL-GT-21-2100458-00-D,11/30/2021,11/30/2022,1,BUILDING,RESIDENTIAL,FI-NIL-GT-22-00096,12/16/2021,PHP,4000000,4000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,N,N,I
SUSAN TRADING INC.,,FI-NIL-GT-21-2100492-00-D,12/15/2021,12/15/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00094,12/16/2021,PHP,1000000,1000000,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,N,N,I
VERGE C. LIM/BVL TRADING,,FI-NIL-GT-22-2100364-00-D,10/20/2021,10/20/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-GT-22-00099,12/16/2021,PHP,8000000,8000000,0,0,0,0,0,3000000,3000000,0,0,0,0,0,0,0,0,0,0,PROPERTY DAMAGE DUE TO TYPHOON,,CLOSED,,677,MARCIANO O. GO HO,N,N,N,I
BIRDSTEEL POULTRY FARMS/SPS. NEIL & MA. THERESA SAJUELA,,FI-NIL-HC-21-0000001-01-D,01/22/2021,01/22/2022,1,POULTRY BUILDING 1,GENERAL - COMMERCIAL,FI-NIL-HC-22-00001,12/16/2021,PHP,319885000,207925250,0,0,0,0,111959750,26433000,17181450,0,0,0,0,9251550,9144350.14,9144350.14,442009.44,442009.44,0,TYPHOON ODETTE,,CLOSED,,1884,"DBP INSURANCE BROKERAGE, INC.",N,N,N,I
MULTI-PACK MANUFACTURING CORPORATION,,FI-NIL-HC-21-0000001-14-D,01/02/2021,01/02/2022,3,BUILDING,INDUSTRIAL - OTHERS,FI-NIL-HC-22-00002,12/16/2021,PHP,306000000,275400000,0,0,0,0,30600000,30000000,27000000,0,0,0,0,3000000,0,0,0,0,0,damage to property,,NOT PURSUED,,30000,CEBU BRANCH,N,N,N,I
MULTI-PACK MANUFACTURING CORPORATION,,FI-NIL-HC-21-0000001-14-D,01/02/2021,01/02/2022,4,M/E,INDUSTRIAL - OTHERS,FI-NIL-HC-22-00002,12/16/2021,PHP,306000000,275400000,0,0,0,0,30600000,241000000,216900000,0,0,0,0,24100000,0,0,0,0,0,damage to property,,NOT PURSUED,,30000,CEBU BRANCH,N,N,N,I
SHERATON CEBU MACTAN RESORT,,FI-NIL-HO-21-0000237-00-I,12/15/2020,12/15/2021,1,ON VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-21-00175,12/15/2021,PHP,309897000,309897000,0,0,0,0,0,309897000,309897000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,234,CHARTER PING AN INSURANCE CORPORATION,N,N,N,I
"GARDENIA BAKERIES PHILIPPINES, INC.",,FI-NIL-HO-21-0000296-00-I,02/28/2021,02/28/2022,1,VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00127,12/16/2021,PHP,486647840.5,486647840.5,0,0,0,0,0,486647840.5,486647840.5,0,0,0,0,0,824546.63,824546.63,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,214,"FPG INSURANCE CO., INC.",N,N,N,I
"THE INSULAR LIFE ASSURANCE COMPANY, LTD.",,FI-NIL-HO-21-0000298-00-I,01/01/2021,01/01/2022,1,VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-22-00001,12/16/2021,PHP,260522948.2,162826842.6,0,0,0,0,97696105.58,260522948.2,162826842.6,0,0,0,0,97696105.58,5000,0,0,0,0,TYPHOON ODETTE,,OUTSTANDING,,659,MAPFRE INSULAR INSURANCE CORPORATION,N,N,N,I
SAN JUAN PARISH MULTI PURPOSE COOPERATIVE,,FI-NIL-HO-21-0000322-09-D,07/10/2021,07/10/2022,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-HO-22-00020,12/16/2021,PHP,4300000,4300000,0,0,0,0,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,OUTSTANDING,,2321,MONALISA T. MIRA,N,N,N,I
AYALA CORPORATION,,FI-NIL-HO-21-0000382-00-I,07/31/2021,07/31/2022,1,PDBI,VARIOUS OCCUPANCY,FI-NIL-HO-22-00012,12/16/2021,USD,452741879.8,362193503.8,0,0,0,0,90548375.95,452741879.8,362193503.8,0,0,0,0,90548375.95,760834.02,552136.27,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,771,AON SINGAPORE (BROKING CENTRE) PTE LTD,N,N,N,I
AYALA CORPORATION,,FI-NIL-HO-21-0000382-00-I,07/31/2021,07/31/2022,1,PDBI,VARIOUS OCCUPANCY,FI-NIL-HO-22-00182,12/16/2021,USD,452741879.8,362193503.8,0,0,0,0,90548375.95,452741879.8,362193503.8,0,0,0,0,90548375.95,157482.43,157482.43,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,771,AON SINGAPORE (BROKING CENTRE) PTE LTD,N,N,N,I
CEBU SHERILIN TRADING CORP.,,FI-NIL-HO-21-0000392-00-I,05/27/2021,05/27/2022,1,VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-21-00181,12/15/2021,PHP,151703171,151703171,0,0,0,0,0,151703171,151703171,0,0,0,0,0,15131517.06,15131517.06,0,0,0,TYPHOON ODETTE,,CLOSED,,234,CHARTER PING AN INSURANCE CORPORATION,N,N,N,I
TAGANITO HPAL NICKEL CORP,,FI-NIL-HO-21-0000449-00-I,10/19/2021,10/19/2022,1,VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00032,12/16/2021,USD,181674642,34021468.57,0,0,0,0,147653173.4,181674642,34021468.57,0,0,0,0,147653173.4,24452.32,24452.32,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"INTERNATIONAL SWINE GENETICS, INC.",,FI-NIL-HO-21-0000616-10-D,05/25/2021,05/25/2022,1,BUILDINGS & I/B,GENERAL - NON COMMERCIAL,FI-NIL-HO-21-00180,12/16/2021,PHP,6000000,6000000,0,0,0,0,0,6000000,6000000,0,0,0,0,0,1418694.7,1418694.7,59518.8,59518.8,0,TYPHOON ODETTE,,OS-ADJUSTER,,2145,CARMENCITA P. CHUA,N,N,N,I
LOCKHEART MANAGEMENT DEVELOPMENT CORP.,,FI-NIL-HO-22-0000014-00-I,09/27/2021,10/27/2022,1,BLDG/M&E/B.I,GENERAL - COMMERCIAL,FI-NIL-HO-22-00002,12/16/2021,PHP,501250000,401000000,0,0,0,0,100250000,501250000,401000000,0,0,0,0,100250000,3159842.75,3159842.75,0,0,0,TYPHOON ODETTE,,CLOSED,,234,CHARTER PING AN INSURANCE CORPORATION,N,N,N,I
CATHAY INTERNATIONAL RESOURCES CORPORATION,,FI-NIL-HO-22-0000015-00-I,10/25/2021,10/25/2022,1,VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-22-00003,12/16/2021,PHP,312737832.8,312737832.8,0,0,0,0,0,312737832.8,312737832.8,0,0,0,0,0,691128.01,691128.01,0,0,0,TYPHOON ODETTE,,CLOSED,,234,CHARTER PING AN INSURANCE CORPORATION,N,N,N,I
"CEBU MITSUMI, INC.",,FI-NIL-HO-22-0000016-00-I,04/01/2021,04/01/2022,1,VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00004,12/16/2021,PHP,726892396.5,726892396.5,0,0,0,0,0,726892396.5,726892396.5,0,0,0,0,0,192589.19,192589.19,0,0,0,TYPHOON ODETTE,,CLOSED,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
FEDERAL LAND INC. (MARCO POLO RESIDENCES TOWER 3 (PARKVIEW),,FI-NIL-HO-22-0000018-00-I,01/10/2021,01/10/2022,1,BLDG/CONTENTS/MACH,RESIDENTIAL,FI-NIL-HO-22-00007,12/16/2021,PHP,127500000,127500000,0,0,0,0,0,127500000,127500000,0,0,0,0,0,7753.97,7753.97,0,0,0,TYPHOON ODETTE,,CLOSED,,234,CHARTER PING AN INSURANCE CORPORATION,N,N,N,I
SHERATON CEBU MACTAN RESORT,,FI-NIL-HO-22-0000019-00-I,12/15/2021,01/14/2023,1,BUILDING,GENERAL - COMMERCIAL,FI-NIL-HO-22-00008,12/16/2021,PHP,619794000,619794000,0,0,0,0,0,619794000,619794000,0,0,0,0,0,18177614.26,18177614.26,0,0,0,TYPHOON ODETTE,,CLOSED,,234,CHARTER PING AN INSURANCE CORPORATION,N,N,N,I
TOYOTA TALISAY,,FI-NIL-HO-22-0000023-00-I,05/08/2021,03/10/2022,1,VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-22-00017,12/16/2021,PHP,25000000,25000000,0,0,0,0,0,25000000,25000000,0,0,0,0,0,921076.1,921076.1,0,0,0,TYPHOON ODETTE,,CLOSED,,287,COMMONWEALTH INSURANCE COMPANY,N,N,N,I
"TOYOTA CEBU CITY, INC.",,FI-NIL-HO-22-0000024-00-I,05/10/2021,03/10/2022,1,VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-22-00019,12/16/2021,PHP,35000000,35000000,0,0,0,0,0,35000000,35000000,0,0,0,0,0,30126.12,30126.12,0,0,0,TYPHOON ODETTE,,CLOSED,,287,COMMONWEALTH INSURANCE COMPANY,N,N,N,I
TOYOTA CEBU MANDAUE SOUTH,,FI-NIL-HO-22-0000025-00-I,04/22/2021,03/10/2022,1,VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-22-00018,12/16/2021,PHP,35000000,35000000,0,0,0,0,0,35000000,35000000,0,0,0,0,0,1346367.09,1346367.09,0,0,0,TYPHOON ODETTE,,CLOSED,,287,COMMONWEALTH INSURANCE COMPANY,N,N,N,I
TOYOTA TAGBILARAN,,FI-NIL-HO-22-0000112-00-I,08/20/2021,08/20/2022,1,VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-22-00021,12/16/2021,PHP,17000000,17000000,0,0,0,0,0,17000000,17000000,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,287,COMMONWEALTH INSURANCE COMPANY,N,N,N,I
FILINVEST LAND INC.,,FI-NIL-HO-22-0000126-00-I,05/15/2021,05/15/2022,1,VARIOUS,VARIOUS OCCUPANCY,FI-NIL-HO-23-00021,12/16/2021,PHP,384748300.1,384748300.1,0,0,0,0,0,384748300.1,384748300.1,0,0,0,0,0,312.83,312.83,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,224,"MALAYAN INSURANCE COMPANY, INC.",N,N,N,I
FILINVEST LAND INC.,,FI-NIL-HO-22-0000126-00-I,05/15/2021,05/15/2022,1,VARIOUS,VARIOUS OCCUPANCY,FI-NIL-HO-23-00030,12/16/2021,PHP,384748300.1,384748300.1,0,0,0,0,0,384748300.1,384748300.1,0,0,0,0,0,326.4,326.4,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,224,"MALAYAN INSURANCE COMPANY, INC.",N,N,N,I
FILINVEST LAND INC.,,FI-NIL-HO-22-0000126-00-I,05/15/2021,05/15/2022,1,VARIOUS,VARIOUS OCCUPANCY,FI-NIL-HO-25-00276,12/16/2021,PHP,384748300.1,384748300.1,0,0,0,0,0,384748300.1,384748300.1,0,0,0,0,0,28773.07,0,0,0,0,typhoon Odette claim LF026207 ,,OUTSTANDING,,224,"MALAYAN INSURANCE COMPANY, INC.",N,N,N,I
"ATOMED CEBU, INC.",,FI-NIL-HO-22-0000210-00-I,08/01/2021,08/01/2022,1,ON VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00129,12/16/2021,PHP,103166054,103166054,0,0,0,0,0,103166054,103166054,0,0,0,0,0,1948250.99,1948250.99,0,0,0,TYPHOON ODETTE,,CLOSED,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"ATOMED CEBU, INC.",,FI-NIL-HO-22-0000210-00-I,08/01/2021,08/01/2022,1,ON VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00130,12/16/2021,PHP,103166054,103166054,0,0,0,0,0,103166054,103166054,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"ATOMED CEBU, INC.",,FI-NIL-HO-22-0000210-00-I,08/01/2021,08/01/2022,1,ON VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00134,12/16/2021,PHP,103166054,103166054,0,0,0,0,0,103166054,103166054,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"ATOMED CEBU, INC.",,FI-NIL-HO-22-0000210-00-I,08/01/2021,08/01/2022,1,ON VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00135,12/16/2021,PHP,103166054,103166054,0,0,0,0,0,103166054,103166054,0,0,0,0,0,0,0,0,0,0,TYPHOON ODETTE,,CLOSED,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"ATOMED CEBU, INC.",,FI-NIL-HO-22-0000211-00-I,08/01/2021,08/01/2022,1,CONTENT,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00139,12/16/2021,PHP,13050845,13050845,0,0,0,0,0,13050845,13050845,0,0,0,0,0,1490.5,1490.5,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"ATOMED CEBU, INC.",,FI-NIL-HO-22-0000230-00-I,10/01/2021,10/01/2022,1,ON VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00140,12/16/2021,PHP,86538821,86538821,0,0,0,0,0,86538821,86538821,0,0,0,0,0,1563,1563,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"ATOMED CEBU, INC.",,FI-NIL-HO-22-0000231-00-I,08/01/2021,08/01/2022,1,CONTENTS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00141,12/16/2021,PHP,47689619,47689619,0,0,0,0,0,47689619,47689619,0,0,0,0,0,58630.96,58630.96,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,604,BPI/MS INSURANCE CORPORATION,N,N,N,I
"SAN CARLOS BIOENERGY, INCORPORATED",,FI-NIL-HO-22-0000244-00-I,07/30/2021,08/29/2022,1,VARIOUS,INDUSTRIAL - OTHERS,FI-NIL-HO-22-00218,12/16/2021,PHP,318110627.9,318110627.9,0,0,0,0,0,318110627.9,318110627.9,0,0,0,0,0,3112.07,3112.07,0,0,0,TYPHOON ODETTE,,OS-FOR APPROVAL,,871,M PIONEER INSURANCE INC.,N,N,N,I
STI WEST NEGROS UNIVERSITY ,,FI-NIL-HO-22-0000257-00-I,06/01/2021,06/01/2022,1,VARIOUS,GENERAL - COMMERCIAL,FI-NIL-HO-22-00165,12/17/2021,PHP,65783363.28,65783363.28,0,0,0,0,0,65783363.28,65783363.28,0,0,0,0,0,11457.61,11457.61,0,0,0,TYPHOON ODETTE,,CLOSED,,295,"PHILIPPINES FIRST INSURANCE COMPANY, INC.",N,N,N,I
